text,label,subintent,canonical_question,difficulty,source,split
"Može pomoć, Gdje mogu naći zakon o udruženjima? Hvala.",zakoni_i_propisi,zakoni_udruzenja,Gdje mogu naći zakon o udruženjima?,easy,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Gdje je obrazac za pristup informacijama?",obrasci,obrazac_zospi,Gdje je obrazac za pristup informacijama?,medium,synthetic_rule_based,train
"Može pomoć, Ne znam koji dokument da predam. Gdje je javni registar fondacija? Molim odgovor.",registri,registar_udruzenja,Gdje je javni registar fondacija?,easy,synthetic_rule_based,train
"Pozdrav, Pokušavam naći tačan obrazac. Gdje se nalazi Ministarstvo pravde?",kontakt_i_nadleznosti,kontakt,Gdje se nalazi Ministarstvo pravde?,natural,synthetic_rule_based,train
"Dobar dan, Treba mi prijava za strucni upravni ispit. Treba mi hitno.",obrasci,obrazac_ispiti,Treba mi prijava za stručni upravni ispit.,natural,synthetic_rule_based,train
Ne znam koji dokument da predam. Gdje su objavljeni ovlašteni sudski tumači? Možete li me uputiti?,registri,registar_tumaca,Gdje su objavljeni ovlašteni sudski tumači?,easy,synthetic_rule_based,train
"Molim vas, Ko ima pravo na besplatnu pravnu pomoć?",pravna_pomoc,besplatna_pravna_pomoc,Ko ima pravo na besplatnu pravnu pomoć?,natural,synthetic_rule_based,train
"Molim vas, Koji su uslovi za vozačku dozvolu? Molim odgovor.",out_of_scope,nevezano,Koji su uslovi za vozačku dozvolu?,natural,synthetic_rule_based,train
"Molim vas, Gdje mogu naći zahtjev za izmjenu podataka?",obrasci,obrazac_promjena,Gdje mogu naći zahtjev za izmjenu podataka?,easy,synthetic_rule_based,train
"Može pomoć, Koji dokumenti trebaju za međunarodnu alimentaciju? Molim odgovor.",pravna_pomoc,alimentacija,Koji dokumenti trebaju za međunarodnu alimentaciju?,natural,synthetic_rule_based,train
"Trebam informaciju, Kada su termini za stručni upravni ispit?",ispiti,strucni_upravni_ispit,Kada su termini za stručni upravni ispit?,natural,synthetic_rule_based,train
"Molim vas, Kada rade općinske službe? Nisam siguran gdje da tražim.",out_of_scope,nevezano,Kada rade općinske službe?,easy,synthetic_rule_based,train
Treba mi pravilnik za ZOSPI. Ako može.,zakoni_i_propisi,zakoni_zospi,Treba mi pravilnik za ZOSPI.,natural,synthetic_rule_based,train
Pokušavam naći tačan obrazac. Kako da produžim pasoš? Ako može.,out_of_scope,nevezano,Kako da produžim pasoš?,natural,synthetic_rule_based,train
promjena podataka udruženje,registracija,registracija_fondacije,Šta treba predati za registraciju fondacije?,short_query,synthetic_rule_based,train
"Molim vas, Jesu li objavljeni novi ispitni termini? Molim odgovor.",ispiti,termini_ispita,Jesu li objavljeni novi ispitni termini?,natural,synthetic_rule_based,train
"Pozdrav, Ima li zahtjev za pristup informacijama? Nisam siguran gdje da tražim.",obrasci,obrazac_zospi,Ima li zahtjev za pristup informacijama?,medium,synthetic_rule_based,train
"Dobar dan, Gdje se predaje zahtjev za građevinsku dozvolu?",out_of_scope,nevezano,Gdje se predaje zahtjev za građevinsku dozvolu?,natural,synthetic_rule_based,train
"Trebam informaciju, Koji zakon regulise notarsku službu? Hvala.",zakoni_i_propisi,zakoni_notari_tumaci,Koji zakon reguliše notarsku službu?,easy,synthetic_rule_based,train
Šta je nadležnost Ministarstva pravde BiH?,kontakt_i_nadleznosti,nadleznosti,Šta je nadležnost Ministarstva pravde BiH?,easy,synthetic_rule_based,train
Kako je regulisan zahtjev za pristup informacijama? Molim odgovor.,zakoni_i_propisi,zakoni_zospi,Kako je regulisan zahtjev za pristup informacijama?,easy,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Gdje su propisi za strucni upravni ispit? Molim odgovor.",zakoni_i_propisi,zakoni_ispiti,Gdje su propisi za stručni upravni ispit?,medium,synthetic_rule_based,train
"Zanima me, Ne znam koji dokument da predam. Ko radi u sektoru za pravosuđe? Možete li me uputiti?",kontakt_i_nadleznosti,organizacija,Ko radi u sektoru za pravosuđe?,medium,synthetic_rule_based,train
Na stranici ima puno linkova. Koji sektori postoje u Ministarstvu? Možete li me uputiti?,kontakt_i_nadleznosti,organizacija,Koji sektori postoje u Ministarstvu?,medium,synthetic_rule_based,train
"Zanima me, Radim ovo prvi put. Gdje se preuzima prijava za ispit? Treba mi hitno.",obrasci,obrazac_ispiti,Gdje se preuzima prijava za ispit?,medium,synthetic_rule_based,train
"Može pomoć, Koji zakon se primjenjuje na NVO?",zakoni_i_propisi,zakoni_udruzenja,Koji zakon se primjenjuje na NVO?,natural,synthetic_rule_based,train
"Molim vas, Koji su uslovi za pravosudni ispit? Treba mi hitno.",ispiti,pravosudni_ispit,Koji su uslovi za pravosudni ispit?,natural,synthetic_rule_based,train
Gdje je obrazac za prijavu pravosudnog ispita? Molim odgovor.,obrasci,obrazac_ispiti,Gdje je obrazac za prijavu pravosudnog ispita?,natural,synthetic_rule_based,train
Treba mi za fakultetski zadatak. Šta uraditi u slucaju međunarodne otmice djeteta? Možete li me uputiti?,pravna_pomoc,otmica_djece,Šta uraditi u slučaju međunarodne otmice djeteta?,medium,synthetic_rule_based,train
"Može pomoć, Ima li zahtjev za pristup informacijama?",obrasci,obrazac_zospi,Ima li zahtjev za pristup informacijama?,medium,synthetic_rule_based,train
"Može pomoć, Koji dokumenti trebaju za besplatnu pravnu pomoć? Treba mi hitno.",pravna_pomoc,besplatna_pravna_pomoc,Koji dokumenti trebaju za besplatnu pravnu pomoć?,easy,synthetic_rule_based,train
"Molim vas, Kako da produžim pasoš? Možete li me uputiti?",out_of_scope,nevezano,Kako da produžim pasoš?,easy,synthetic_rule_based,train
Kako provjeriti da li je neko sudski tumač?,registri,registar_tumaca,Kako provjeriti da li je neko sudski tumač?,medium,synthetic_rule_based,train
Na stranici ima puno linkova. Ko radi u sektoru za pravosuđe? Molim odgovor.,kontakt_i_nadleznosti,organizacija,Ko radi u sektoru za pravosuđe?,medium,synthetic_rule_based,train
"Pozdrav, Šta treba za promjenu osobe ovlaštene za zastupanje? Treba mi hitno.",registracija,promjena_podataka,Šta treba za promjenu osobe ovlaštene za zastupanje?,easy,synthetic_rule_based,train
"Trebam informaciju, Šta treba za promjenu osobe ovlaštene za zastupanje? Molim odgovor.",registracija,promjena_podataka,Šta treba za promjenu osobe ovlaštene za zastupanje?,medium,synthetic_rule_based,train
Ne znam koji dokument da predam. Gdje se nalazi vodič za pristup informacijama?,zakoni_i_propisi,zakoni_zospi,Gdje se nalazi vodič za pristup informacijama?,natural,synthetic_rule_based,train
"Zanima me, Koji obrazac se koristi za osnivanje udruženja? Molim odgovor.",obrasci,obrazac_registracija,Koji obrazac se koristi za osnivanje udruženja?,natural,synthetic_rule_based,train
Ne znam koji dokument da predam. Kada je popravni ispit?,ispiti,termini_ispita,Kada je popravni ispit?,easy,synthetic_rule_based,train
"Trebam informaciju, Radim ovo prvi put. Treba mi izvod iz registra udruženja.",registri,registar_udruzenja,Treba mi izvod iz registra udruženja.,easy,synthetic_rule_based,train
Ne razumijem proceduru. Gdje su propisi za stručni upravni ispit?,zakoni_i_propisi,zakoni_ispiti,Gdje su propisi za stručni upravni ispit?,natural,synthetic_rule_based,train
"Pozdrav, Koga da kontaktiram za međunarodnu pravnu pomoć? Ako može.",pravna_pomoc,medjunarodna_pravna_pomoc,Kome se obratiti za međunarodnu pravnu pomoć?,easy,synthetic_rule_based,train
"Zanima me, Koji obrazac se koristi za osnivanje udruženja? Nisam siguran gdje da tražim.",obrasci,obrazac_registracija,Koji obrazac se koristi za osnivanje udruženja?,easy,synthetic_rule_based,train
"Trebam informaciju, Ne znam koji dokument da predam. Kako podnijeti zahtjev za brisanje fondacije?",registracija,brisanje_iz_registra,Kako podnijeti zahtjev za brisanje fondacije?,natural,synthetic_rule_based,train
"Može pomoć, Ne razumijem proceduru. Gdje se nalazi Ministarstvo pravde?",kontakt_i_nadleznosti,kontakt,Gdje se nalazi Ministarstvo pravde?,medium,synthetic_rule_based,train
"Molim vas, Gdje mogu naći program pravosudnog ispita? Treba mi hitno.",zakoni_i_propisi,zakoni_ispiti,Gdje mogu naći program pravosudnog ispita?,natural,synthetic_rule_based,train
"Pozdrav, Ima li lista stalnih sudskih tumaca? Ako može.",registri,registar_tumaca,Ima li lista stalnih sudskih tumača?,easy,synthetic_rule_based,train
"Pozdrav, Kada su termini za stručni upravni ispit? Ako može.",ispiti,strucni_upravni_ispit,Kada su termini za stručni upravni ispit?,medium,synthetic_rule_based,train
"Molim vas, Na stranici ima puno linkova. Gdje mogu preuzeti obrazac za registraciju udruženja? Molim odgovor.",obrasci,obrazac_registracija,Gdje mogu preuzeti obrazac za registraciju udruženja?,medium,synthetic_rule_based,train
Treba mi broj telefona za informacije o ispitu. Možete li me uputiti?,ispiti,kontakt_ispiti,Treba mi broj telefona za informacije o ispitu.,medium,synthetic_rule_based,train
Gdje se predaje zahtjev za građevinsku dozvolu? Treba mi hitno.,out_of_scope,nevezano,Gdje se predaje zahtjev za građevinsku dozvolu?,medium,synthetic_rule_based,train
"Trebam informaciju, Pokušavam naći tačan obrazac. Kako otvoriti firmu u poreznoj upravi? Hvala.",out_of_scope,nevezano,Kako otvoriti firmu u poreznoj upravi?,medium,synthetic_rule_based,train
Ne razumijem proceduru. Ima li lista stalnih sudskih tumača? Hvala.,registri,registar_tumaca,Ima li lista stalnih sudskih tumača?,easy,synthetic_rule_based,train
"Trebam informaciju, Gdje mogu preuzeti obrazac za registraciju udruženja? Ako može.",obrasci,obrazac_registracija,Gdje mogu preuzeti obrazac za registraciju udruženja?,medium,synthetic_rule_based,train
"Zanima me, Pokušavam naći tačan obrazac. Treba mi pravilnik za ZOSPI. Nisam siguran gdje da tražim.",zakoni_i_propisi,zakoni_zospi,Treba mi pravilnik za ZOSPI.,easy,synthetic_rule_based,train
Ima li lista stalnih sudskih tumača? Ako može.,registri,registar_tumaca,Ima li lista stalnih sudskih tumača?,easy,synthetic_rule_based,train
"Dobar dan, Koliko košta polaganje pravosudnog ispita?",ispiti,pravosudni_ispit,Koliko košta polaganje pravosudnog ispita?,easy,synthetic_rule_based,train
"Može pomoć, Koji zakon propisuje uslove za pravosudni ispit? Ako može.",zakoni_i_propisi,zakoni_ispiti,Koji zakon propisuje uslove za pravosudni ispit?,natural,synthetic_rule_based,train
"Molim vas, Kako promijeniti adresu udruženja? Molim odgovor.",registracija,promjena_podataka,Kako promijeniti adresu udruženja?,natural,synthetic_rule_based,train
Koji formular se predaje za polaganje ispita? Treba mi hitno.,obrasci,obrazac_ispiti,Koji formular se predaje za polaganje ispita?,natural,synthetic_rule_based,train
"Molim vas, Gdje da pitam za ispitne termine? Možete li me uputiti?",ispiti,kontakt_ispiti,Gdje da pitam za ispitne termine?,medium,synthetic_rule_based,train
"Može pomoc, Gdje je obrazac za pristup informacijama? Molim odgovor.",obrasci,obrazac_zospi,Gdje je obrazac za pristup informacijama?,natural,synthetic_rule_based,train
"Može pomoć, Na stranici ima puno linkova. Koji zakon se primjenjuje na NVO? Možete li me uputiti?",zakoni_i_propisi,zakoni_udruzenja,Koji zakon se primjenjuje na NVO?,medium,synthetic_rule_based,train
"Trebam informaciju, Pokušavam naći tačan obrazac. Kako registrovati auto? Hvala.",out_of_scope,nevezano,Kako registrovati auto?,natural,synthetic_rule_based,train
"Zanima me, Kako podnijeti zahtjev/prijava za brisanje fondacije?",registracija,brisanje_iz_registra,Kako podnijeti zahtjev za brisanje fondacije?,natural,synthetic_rule_based,train
"Zanima me, Gdje su objavljeni ovlašteni sudski tumaci? Ako moze.",registri,registar_tumaca,Gdje su objavljeni ovlašteni sudski tumači?,natural,synthetic_rule_based,train
"Dobar dan, Kako se prijavljuje stručni upravni ispit? Hvala.",ispiti,strucni_upravni_ispit,Kako se prijavljuje stručni upravni ispit?,medium,synthetic_rule_based,train
Gdje da pitam za ispitne termine? Molim odgovor.,ispiti,kontakt_ispiti,Gdje da pitam za ispitne termine?,easy,synthetic_rule_based,train
